Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
11 18 2016,8:30 pm,MEM,80,DAL,64,Box Score,,19715,
11 18 2016,9:00 pm,TOR,113,DEN,111,Box Score,OT,12476,
11 18 2016,7:00 pm,PHX,116,IND,96,Box Score,,16780,
11 18 2016,10:30 pm,SAS,116,LAL,107,Box Score,,18997,
11 18 2016,8:00 pm,POR,101,NOP,113,Box Score,,15552,
11 18 2016,8:00 pm,BKN,105,OKC,124,Box Score,,18203,
11 18 2016,10:30 pm,LAC,121,SAC,115,Box Score,,17608,
11 19 2016,7:00 pm,BOS,94,DET,92,Box Score,,16107,
11 19 2016,5:00 pm,UTA,102,HOU,111,Box Score,,14760,
11 19 2016,10:30 pm,CHI,95,LAC,102,Box Score,,19060,
11 19 2016,8:00 pm,MIN,71,MEM,93,Box Score,,17112,
11 19 2016,8:30 pm,GSW,124,MIL,121,Box Score,,18717,
11 19 2016,7:00 pm,CHA,116,NOP,121,Box Score,OT,15739,
11 19 2016,7:00 pm,DAL,87,ORL,95,Box Score,,18846,
11 19 2016,7:30 pm,PHX,105,PHI,120,Box Score,,18125,
11 19 2016,7:00 pm,MIA,114,WAS,111,Box Score,,15848,
11 20 2016,3:30 pm,POR,129,BKN,109,Box Score,,16608,
11 20 2016,9:00 pm,UTA,91,DEN,105,Box Score,,12565,
11 20 2016,9:30 pm,CHI,118,LAL,110,Box Score,,18997,
11 20 2016,12:00 pm,ATL,94,NYK,104,Box Score,,19812,
11 20 2016,7:00 pm,IND,115,OKC,111,Box Score,OT,18203,
11 20 2016,9:00 pm,TOR,99,SAC,102,Box Score,,17608,
11 21 2016,7:00 pm,MEM,105,CHA,90,Box Score,,14181,
11 21 2016,7:30 pm,HOU,99,DET,96,Box Score,,13632,
11 21 2016,7:00 pm,GSW,120,IND,83,Box Score,,17923,
11 21 2016,10:30 pm,TOR,115,LAC,123,Box Score,,19060,
11 21 2016,8:00 pm,ORL,89,MIL,93,Box Score,,12306,
11 21 2016,8:00 pm,BOS,99,MIN,93,Box Score,,13167,
11 21 2016,7:00 pm,MIA,94,PHI,101,Box Score,,16477,
11 21 2016,8:30 pm,DAL,91,SAS,96,Box Score,,18418,
11 21 2016,7:00 pm,PHX,101,WAS,106,Box Score,,12790,
11 22 2016,7:30 pm,NOP,112,ATL,94,Box Score,,19120,
11 22 2016,9:00 pm,CHI,107,DEN,110,Box Score,,14328,
11 22 2016,10:30 pm,OKC,109,LAL,111,Box Score,,18997,
11 22 2016,7:30 pm,POR,103,NYK,107,Box Score,,19812,
11 23 2016,7:30 pm,BOS,111,BKN,92,Box Score,,16210,
11 23 2016,7:00 pm,SAS,119,CHA,114,Box Score,,18515,
11 23 2016,7:00 pm,POR,125,CLE,137,Box Score,,20562,
11 23 2016,8:30 pm,LAC,124,DAL,104,Box Score,,20042,
11 23 2016,7:30 pm,MIA,84,DET,107,Box Score,,14520,
11 23 2016,10:30 pm,LAL,106,GSW,149,Box Score,,19596,
11 23 2016,8:00 pm,TOR,115,HOU,102,Box Score,,18055,
11 23 2016,7:00 pm,ATL,96,IND,85,Box Score,,16032,
11 23 2016,9:30 pm,MIN,96,NOP,117,Box Score,,15555,
11 23 2016,7:00 pm,PHX,92,ORL,87,Box Score,,17069,
11 23 2016,7:00 pm,MEM,104,PHI,99,Box Score,2OT,15880,
11 23 2016,10:30 pm,OKC,101,SAC,116,Box Score,,17608,
11 23 2016,9:00 pm,DEN,83,UTA,108,Box Score,,19229,
11 25 2016,1:00 pm,SAS,109,BOS,103,Box Score,,18624,
11 25 2016,7:30 pm,DAL,90,CLE,128,Box Score,,20562,
11 25 2016,9:00 pm,OKC,132,DEN,129,Box Score,OT,14327,
11 25 2016,7:30 pm,LAC,97,DET,108,Box Score,,17023,
11 25 2016,8:00 pm,BKN,97,IND,118,Box Score,,16083,
11 25 2016,10:30 pm,GSW,109,LAL,85,Box Score,,18997,
11 25 2016,8:00 pm,MIA,90,MEM,81,Box Score,,17222,
11 25 2016,8:00 pm,TOR,105,MIL,99,Box Score,,16223,
11 25 2016,7:30 pm,CHA,111,NYK,113,Box Score,OT,19812,
11 25 2016,7:00 pm,WAS,94,ORL,91,Box Score,,17103,
11 25 2016,7:30 pm,CHI,105,PHI,89,Box Score,,18234,
11 25 2016,9:00 pm,MIN,98,PHX,85,Box Score,,16728,
11 25 2016,10:00 pm,NOP,104,POR,119,Box Score,,19393,
11 25 2016,10:30 pm,HOU,117,SAC,104,Box Score,,17608,
11 25 2016,8:00 pm,ATL,68,UTA,95,Box Score,,19911,
11 26 2016,7:00 pm,NYK,102,CHA,107,Box Score,,19195,
11 26 2016,10:30 pm,MIN,102,GSW,115,Box Score,,19596,
11 26 2016,8:00 pm,MEM,110,MIA,107,Box Score,,19600,
11 26 2016,8:00 pm,DET,88,OKC,106,Box Score,,18203,
11 26 2016,7:00 pm,SAS,112,WAS,100,Box Score,,17066,
11 27 2016,6:00 pm,SAC,122,BKN,105,Box Score,,13646,
11 27 2016,7:00 pm,NOP,81,DAL,91,Box Score,,19302,
11 27 2016,6:00 pm,LAC,70,IND,91,Box Score,,15572,
11 27 2016,9:30 pm,ATL,94,LAL,109,Box Score,,18997,
11 27 2016,6:00 pm,MIL,104,ORL,96,Box Score,,16521,
11 27 2016,1:00 pm,CLE,112,PHI,108,Box Score,,19311,
11 27 2016,3:30 pm,DEN,120,PHX,114,Box Score,,15365,
11 27 2016,9:00 pm,HOU,130,POR,114,Box Score,,19393,
11 28 2016,10:30 pm,ATL,100,GSW,105,Box Score,,19596,
11 28 2016,8:00 pm,CHA,104,MEM,85,Box Score,,13143,
11 28 2016,7:30 pm,BOS,112,MIA,104,Box Score,,19600,
11 28 2016,8:00 pm,UTA,112,MIN,103,Box Score,,9384,
11 28 2016,7:30 pm,OKC,112,NYK,103,Box Score,,19812,
11 28 2016,7:30 pm,PHI,95,TOR,122,Box Score,,19800,
11 28 2016,7:00 pm,SAC,95,WAS,101,Box Score,OT,12571,
11 29 2016,7:30 pm,LAC,122,BKN,127,Box Score,2OT,15681,
11 29 2016,7:00 pm,DET,112,CHA,89,Box Score,,14266,
11 29 2016,8:00 pm,CLE,101,MIL,118,Box Score,,16559,
11 29 2016,8:00 pm,LAL,88,NOP,105,Box Score,,14024,
11 29 2016,8:30 pm,ORL,95,SAS,83,Box Score,,18418,
11 29 2016,9:00 pm,HOU,101,UTA,120,Box Score,,19911,
11 30 2016,7:30 pm,DET,121,BOS,114,Box Score,,17338,
11 30 2016,8:00 pm,LAL,96,CHI,90,Box Score,,21773,
11 30 2016,8:30 pm,SAS,94,DAL,87,Box Score,,19245,
11 30 2016,9:00 pm,MIA,106,DEN,98,Box Score,,11471,
11 30 2016,8:00 pm,NYK,106,MIN,104,Box Score,,13987,
11 30 2016,8:00 pm,WAS,115,OKC,126,Box Score,OT,18203,
11 30 2016,9:00 pm,ATL,107,PHX,109,Box Score,,15909,
11 30 2016,10:00 pm,IND,109,POR,131,Box Score,,19107,
11 30 2016,7:30 pm,MEM,105,TOR,120,Box Score,,19800,
12 1 2016,7:30 pm,MIL,111,BKN,93,Box Score,,12675,
12 1 2016,7:00 pm,DAL,87,CHA,97,Box Score,,14471,
12 1 2016,8:00 pm,LAC,113,CLE,94,Box Score,,20562,
12 1 2016,10:30 pm,HOU,132,GSW,127,Box Score,2OT,19596,
12 1 2016,8:00 pm,ORL,94,MEM,95,Box Score,,13344,
12 1 2016,9:00 pm,MIA,111,UTA,110,Box Score,,19073,
12 2 2016,8:00 pm,DET,121,ATL,85,Box Score,,15500,
12 2 2016,7:30 pm,SAC,92,BOS,97,Box Score,,18624,
12 2 2016,8:00 pm,CLE,105,CHI,111,Box Score,,21775,
12 2 2016,10:30 pm,HOU,128,DEN,110,Box Score,,15549,
12 2 2016,8:00 pm,LAC,114,NOP,96,Box Score,,16538,
12 2 2016,7:30 pm,MIN,114,NYK,118,Box Score,,19812,
12 2 2016,7:00 pm,ORL,105,PHI,88,Box Score,,13711,
12 2 2016,8:30 pm,WAS,105,SAS,107,Box Score,,18418,
12 2 2016,7:30 pm,LAL,80,TOR,113,Box Score,,19800,
12 3 2016,7:00 pm,MIN,125,CHA,120,Box Score,OT,16982,
12 3 2016,8:30 pm,CHI,82,DAL,107,Box Score,,19857,
12 3 2016,10:30 pm,PHX,109,GSW,138,Box Score,,19596,
12 3 2016,8:00 pm,LAL,100,MEM,103,Box Score,,17017,
12 3 2016,5:00 pm,BKN,103,MIL,112,Box Score,,15565,
12 3 2016,7:30 pm,BOS,107,PHI,106,Box Score,,17063,
