G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
73,Sun Mar 25 2018,1:00p ET,,Box Score,@,Brooklyn Nets,W,,121,114,44,29,W 5,
74,Tue Mar 27 2018,8:00p ET,,Box Score,@,Miami Heat,L,,79,98,44,30,L 1,
75,Wed Mar 28 2018,7:00p ET,,Box Score,@,Charlotte Hornets,W,,118,105,45,30,W 1,
76,Fri Mar 30 2018,8:00p ET,,Box Score,,New Orleans Pelicans,W,,107,102,46,30,W 2,
77,Sun Apr 1 2018,6:00p ET,,Box Score,,Dallas Mavericks,W,,98,87,47,30,W 3,
78,Tue Apr 3 2018,7:00p ET,,Box Score,,Toronto Raptors,W,,112,106,48,30,W 4,
79,Thu Apr 5 2018,8:00p ET,,Box Score,,Washington Wizards,W,,119,115,49,30,W 5,
80,Fri Apr 6 2018,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,130,132,49,31,L 1,
81,Mon Apr 9 2018,7:30p ET,,Box Score,@,New York Knicks,W,,123,109,50,31,W 1,
82,Wed Apr 11 2018,8:00p ET,,Box Score,,New York Knicks,L,,98,110,50,32,L 1,
