G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
54,Mon Feb 5 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,101,104,17,37,L 1,
55,Thu Feb 8 2018,10:30p ET,,Box Score,@,Golden State Warriors,L,,103,121,17,38,L 2,
56,Sat Feb 10 2018,8:30p ET,,Box Score,,Los Angeles Lakers,W,,130,123,18,38,W 1,
57,Sun Feb 11 2018,7:00p ET,,Box Score,@,Houston Rockets,L,,97,104,18,39,L 1,
58,Tue Feb 13 2018,8:30p ET,,Box Score,,Sacramento Kings,L,,109,114,18,40,L 2,
59,Fri Feb 23 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,102,124,18,41,L 3,
60,Sat Feb 24 2018,9:00p ET,,Box Score,@,Utah Jazz,L,,90,97,18,42,L 4,
61,Mon Feb 26 2018,8:30p ET,,Box Score,,Indiana Pacers,W,,109,103,19,42,W 1,
62,Wed Feb 28 2018,8:30p ET,,Box Score,,Oklahoma City Thunder,L,OT,110,111,19,43,L 1,
63,Fri Mar 2 2018,8:00p ET,,Box Score,@,Chicago Bulls,L,,100,108,19,44,L 2,
64,Sun Mar 4 2018,7:00p ET,,Box Score,,New Orleans Pelicans,L,,109,126,19,45,L 3,
65,Tue Mar 6 2018,8:30p ET,,Box Score,,Denver Nuggets,W,,118,107,20,45,W 1,
66,Sat Mar 10 2018,8:30p ET,,Box Score,,Memphis Grizzlies,W,,114,80,21,45,W 2,
67,Sun Mar 11 2018,7:00p ET,,Box Score,,Houston Rockets,L,,82,105,21,46,L 1,
68,Tue Mar 13 2018,7:30p ET,,Box Score,@,New York Knicks,W,,110,97,22,46,W 1,
69,Fri Mar 16 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,OT,115,122,22,47,L 1,
70,Sat Mar 17 2018,7:30p ET,,Box Score,@,Brooklyn Nets,L,,106,114,22,48,L 2,
71,Tue Mar 20 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,105,115,22,49,L 3,
72,Thu Mar 22 2018,8:30p ET,,Box Score,,Utah Jazz,L,,112,119,22,50,L 4,
73,Sat Mar 24 2018,8:30p ET,,Box Score,,Charlotte Hornets,L,,98,102,22,51,L 5,
74,Tue Mar 27 2018,10:00p ET,,Box Score,@,Sacramento Kings,W,,103,97,23,51,W 1,
75,Wed Mar 28 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,93,103,23,52,L 1,
76,Fri Mar 30 2018,8:30p ET,,Box Score,,Minnesota Timberwolves,L,,92,93,23,53,L 2,
77,Sun Apr 1 2018,6:00p ET,,Box Score,@,Cleveland Cavaliers,L,,87,98,23,54,L 3,
78,Tue Apr 3 2018,8:30p ET,,Box Score,,Portland Trail Blazers,W,,115,109,24,54,W 1,
79,Wed Apr 4 2018,7:00p ET,,Box Score,@,Orlando Magic,L,,100,105,24,55,L 1,
80,Fri Apr 6 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,OT,106,113,24,56,L 2,
81,Sun Apr 8 2018,1:00p ET,,Box Score,@,Philadelphia 76ers,L,,97,109,24,57,L 3,
82,Tue Apr 10 2018,8:30p ET,,Box Score,,Phoenix Suns,L,,97,124,24,58,L 4,
